/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/0207_china-adoption01-1000x666.jpg,180,68,488,417,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/0207_china-adoption01-1000x666.jpg,544,23,814,372,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/0229_PMAD_MPARSONS.jpg,313,63,574,386,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/05223211.jpg,84,8,153,88,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/05223211.jpg,205,41,271,108,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/05223211.jpg,312,37,374,109,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/05223211.jpg,388,43,445,107,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/05223211.jpg,481,46,563,121,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/07247b919cef71df262c16daa8e72550.jpg,59,2,192,171,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/07247b919cef71df262c16daa8e72550.jpg,1,164,186,379,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/07247b919cef71df262c16daa8e72550.jpg,186,6,361,285,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/07247b919cef71df262c16daa8e72550.jpg,365,65,543,349,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/09xp-Loehmann-superJumbo.jpg,192,353,665,973,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/09xp-Loehmann-superJumbo.jpg,833,709,1237,1159,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/09xp-Loehmann-superJumbo.jpg,1412,564,1687,882,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/0_kim-jong-un.jpg,25,7,188,187,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/0_kim-jong-un.jpg,398,53,517,193,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/1.7476151.jpg,822,489,1908,1703,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/1.7476151.jpg,1962,6,2945,1039,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/1.jpg,80,33,445,421,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/1.jpg,480,21,820,380,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/1000x-1.jpg,510,27,788,362,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/111007124623-awkward-black-girl-issa-rae-interview-00040701-story-top.jpg,133,31,218,141,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/111007124623-awkward-black-girl-issa-rae-interview-00040701-story-top.jpg,406,27,495,150,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/11157001_1113842371974532_1600759405_n.jpg,46,23,251,310,face
/content/drive/My Drive/Colab Notebooks/REAL_IMAGES/11157001_1113842371974532_1600759405_n.jpg,345,4,558,306,face
